,ROOT,All,1,100%,R
  ROOT,A1,EQ-US-TSM,1,25%,AC
  ROOT,A2,FI-LT-GOV,2,25%,AC
  ROOT,A3,FI-CASH,3,25%,AC
  ROOT,A4,OTHER-COM-GOLD,4,25%,AC
