
# https://www.bogleheads.org/wiki/Lazy_portfolios
# portfoliocharts

EQ-US-SB,,VIOO
EQ-US-SV,,VIOV
OTHER-REIT-US,,VNQ
EQ-ID-TSM,,VEA
EQ-IG-SB,,VSS
OTHER-REIT-I,,VNQI
EQ-IE-TSM,,VWO
FI-ST-GOV,,VGSH
FI-IT-GOV,,VGIT
#FI-IT-IPS,,VTIP

EQ-US-LB,,SCHX
EQ-US-LV,,SCHV
EQ-US-SB,,SCHA
EQ-US-SV,,SLYV
OTHER-REIT-US,,SCHH
EQ-ID-TSM,,SCHF
EQ-ID-SB,,SCHC
EQ-IE-TSM,,SCHE
EQ-IE-SB,,EWX
FI-ST-GOV,,SCHO
FI-IT-GOV,,SCHR
FI-IT-IPS,,SCHP

EQ-US-LB,,SPLG
EQ-US-LV,,SPYV
EQ-US-SB,,SPSM
EQ-US-SV,,SLYV
OTHER-REIT-US,,USRT
EQ-ID-TSM,,SPDW
EQ-ID-LV,,EFV
EQ-ID-SB,,GWX
EQ-ID-SV,,DLS
EQ-IE-TSM,,SPEM
EQ-IE-SB,,EWX
OTHER-REIT-I,,IFGL
FI-ST-GOV,,SPTS
FI-IT-GOV,,SPTI,#ITE??
FI-ST-IPS,,STIP


#EQ-US-LB?,,AVUS, # has value tilt
EQ-US-LV,,RPV
EQ-US-SB,,IJR
EQ-US-SV,,AVUV
OTHER-REIT-US,,VNQ
#EQ-ID-LB??,,AVDE, # has value tilt
EQ-ID-LV,,EFV
#EQ-ID-SB??,,FNDC, # has value tilt
EQ-ID-SV,,AVDV
#EQ-IE-LB??,,AVEM, # has value tilt

EQ-IE-LV,,AVES

#SPDR® Nvn Barclays Short Term Muni Bnd SHM
#VanEck Vectors AMT-Free Inter. Muni Bnd ITM


# https://www.altruistfa.com/dfavanguard.htm

#https://www.bogleheads.org/wiki/Fidelity

#https://www.bogleheads.org/wiki/Charles_Schwab

EQ-US-TSM,,SWTSX,   0.03%
EQ-US-TSM,,VTSAX,   0.04%
EQ-US-LB,,SWPPX,   0.02%
EQ-US-LB,,VFIAX,   0.04%
EQ-US-LB,,SNXFX,   0.05%
EQ-US-LB,,VLCAX,   0.05%
EQ-US-LV,,SWLVX,   0.035%
EQ-US-LV,,VVIAX,   0.05%
EQ-US-LG,,SWLGX,   0.035%
EQ-US-LG,,VIGAX,   0.05%
