,ROOT,All,1,100%,R
  ROOT,A1,EQ-US-TSM,1,20%,AC
  ROOT,A2,EQ-US-SV,2,20%,AC
  ROOT,A3,FI-LT-GOV,3,20%,AC
  ROOT,A4,FI-ST-GOV,4,20%,AC
  ROOT,A5,OTHER-COM-GOLD,5,20%,AC
