,ROOT,All,1,100%,R
  ROOT,A1,EQ-US-LB,1,20%,AC
  ROOT,A2,EQ-US-SB,2,8%,AC
  ROOT,A3,EQ-ID-TSM,3,6%,AC
  ROOT,A4,EQ-ID-SB,4,10%,AC
  ROOT,A5,EQ-IE-TSM,5,6%,AC
  ROOT,A6,FI-IT-GOV,6,30%,AC
  ROOT,A7,FI-XUS-IT-GOV,7,11%,AC
  ROOT,A8,FI-CASH,8,4%,AC
  ROOT,A9,OTHER-REIT-US,9,5%,AC
