,ROOT,All,1,100%,R
  ROOT,EQ-WD,EQ-WD,1,45%,G
    EQ-WD,EQ-WD1,EQ-US-TSM,1,50%,AC
    EQ-WD,EQ-WD2,EQ-ID-TSM,2,50%,AC
  ROOT,EQ-IE,EQ-IE-TSM,2,5%,AC
  ROOT,FI,FI,3,44%,G
    FI,FI1,FI-IT-GOV,1,40%,AC
    FI,FI2,FI-XUS-IT-GOV,2,60%,AC
  ROOT,ALT1,OTHER-REIT-US,4,4%,AC
  ROOT,ALT2,OTHER-COM-GOLD,5,2%,AC
