,ROOT,All,1,100%,R
  ROOT,A1,EQ-US-TSM,1,30%,AC
  ROOT,A2,EQ-ID-TSM,2,15%,AC
  ROOT,A3,EQ-IE-TSM,3,5%,AC
  ROOT,A4,FI-IT-GOV,4,30%,AC
  ROOT,A5,OTHER-REIT-US,5,20%,AC
