,ROOT,All,1,100%,R
  ROOT,EQ,EQ,1,60%,G
    EQ,EQ1,EQ-US-LB,1,10%,AC
    EQ,EQ2,EQ-US-LV,2,10%,AC
    EQ,EQ3,EQ-US-SB,3,10%,AC
    EQ,EQ4,EQ-US-SV,4,10%,AC
    EQ,EQ5,OTHER-REIT-US,5,10%,AC
    EQ,EQ6,EQ-ID-LB,6,10%,AC
    EQ,EQ7,EQ-ID-LV,7,10%,AC
    EQ,EQ8,EQ-ID-SB,8,10%,AC
    EQ,EQ9,EQ-ID-SV,9,10%,AC
    EQ,EQ10,EQ-IE-TSM,10,10%,AC
  ROOT,FI,FI,2,40%,G
    FI,FI1,FI-IT-GOV,1,50%,AC
    FI,FI2,FI-ST-GOV,2,50%,AC
