,ROOT,All,1,100%,R
  ROOT,EQ,EQ,1,60%,G
    EQ,EQ1,EQ-US-TSM,1,60%,AC
    EQ,EQ2,EQ-IG-TSM,5,30%,AC
    EQ,EQ3,OTHER-REIT-US,6,10%,AC
  ROOT,FI,FI,2,40%,G
    FI,FI1,FI-IT-TBM,1,100%,AC
