,ROOT,All,1,100%,R
  ROOT,EQ1,EQ-US,1,25%,G
    EQ1,EQ1-1,EQ-US-TSM,1,60%,AC
    EQ1,EQ1-2,EQ-US-SV,2,40%,AC
  ROOT,EQ2,EQ-I,2,25%,G
    EQ2,EQ2-1,EQ-ID-TSM,1,60%,AC
    EQ2,EQ2-2,EQ-IE-TSM,2,40%,AC
  ROOT,FI,FI,3,25%,G
    FI,FI1,FI-IT-GOV,1,60%,AC
    FI,FI2,FI-CASH,2,40%,AC
  ROOT,ALT,ALT,4,25%,G
    ALT,ALT1,OTHER-REIT-US,1,60%,AC
    ALT,ALT2,OTHER-COM-GOLD,2,40%,AC
