,ROOT,All,1,100%,R
  ROOT,A1,EQ-US-SV,1,15%,AC
  ROOT,A2,EQ-ID-SV,2,7.5%,AC
  ROOT,A3,EQ-IE-TSM,3,7.5%,AC
  ROOT,A4,FI-IT-GOV,4,70%,AC
