,ROOT,All,1,100%,R
  ROOT,A1,EQ-US-TSM,1,20%,AC
  ROOT,A2,EQ-IG-TSM,2,20%,AC
  ROOT,A3,FI-IT-GOV,3,20%,AC
  ROOT,A4,OTHER-COM-CCF,4,20%,AC
  ROOT,A5,OTHER-REIT-US,5,20%,AC
