,ROOT,All,1,100%,R
  ROOT,EQ,EQ,1,62%,G
    EQ,EQ-US,EQ-US,1,50%,G
      EQ-US,EQ1,EQ-US-LB,1,20%,AC
      EQ-US,EQ2,EQ-US-LV,2,30%,AC
      EQ-US,EQ3,EQ-US-SG,3,20%,AC
      EQ-US,EQ4,EQ-US-SV,4,30%,AC
    EQ,EQ-I,EQ-I,2,50%,G
      EQ-I,EQ5,EQ-IG-TSM,2,100%,AC
  ROOT,FI,FI,2,30%,G
    FI,FI1,FI-ST-GOV,1,100%,AC
  ROOT,RE,RE,3,8%,G
    RE,RE1,OTHER-REIT-US,1,100%,AC
