,ROOT,All,1,100%,R
  ROOT,A1,EQ-US-LB,1,25%,AC
  ROOT,A2,EQ-US-SB,2,25%,AC
  ROOT,A3,EQ-IG-TSM,3,25%,AC
  ROOT,A4,FI-ST-GOV,4,25%,AC
