,ROOT,All,1,100%,R
  ROOT,A1,EQ-US-TSM,1,30%,AC
  ROOT,A2,FI-LT-GOV,2,40%,AC
  ROOT,A3,FI-IT-GOV,3,15%,AC
  ROOT,A4,OTHER-COM-CCF,4,7.5%,AC
  ROOT,A5,OTHER-COM-GOLD,5,7.5%,AC
